DATE,OUTPOST_CODE,MESSAGE_TYPE,ITEM,QUANTITY,FAVORS,ASSIGNED_VEHICLE
2028-09-25,dff86194-0590-4016-b794-0ab8d962a938,REQUEST,Tequila,1,980,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Medikit,1,453,1
2028-09-25,dff86194-0590-4016-b794-0ab8d962a938,REQUEST,Tequila,1,900,1
2028-09-25,dff86194-0590-4016-b794-0ab8d962a938,REQUEST,Medikit,1,437,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,1,169,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Tequila,1,810,1
2028-09-25,b544defa-b8fa-4130-9f14-65cbde5b3ad4,REQUEST,Tequila,1,810,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Tequila,1,810,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Tequila,1,810,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,1,149,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,1,137,1
2028-09-25,1d1b9464-d1ab-4050-8352-868cfcf33c19,REQUEST,Rubbing Alcohol,1,126,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,1,126,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,1,124,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,1,121,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,1,105,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,1,104,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,1,103,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,1,101,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,1,100,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,1,99,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,1,99,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,1,99,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,1,82,1
2028-09-25,b544defa-b8fa-4130-9f14-65cbde5b3ad4,REQUEST,Tequila,2,810,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Medikit,2,405,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,1,80,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,1,79,1
2028-09-25,f92a03f1-fed0-4d97-8bb6-117d11c5227b,REQUEST,Medikit,2,391,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Tequila,3,1160,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Medikit,2,360,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,2,130,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,2,128,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Medikit,3,470,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,2,124,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,2,121,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,2,101,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,2,100,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,2,98,1
2028-09-25,f92a03f1-fed0-4d97-8bb6-117d11c5227b,REQUEST,Medikit,3,360,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Medikit,3,360,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Rubbing Alcohol,3,131,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,3,126,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,3,125,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,2,81,1
2028-09-25,934f781c-a297-4143-ba48-dcbb41accdc9,REQUEST,Medikit,4,402,1
2028-09-25,934f781c-a297-4143-ba48-dcbb41accdc9,REQUEST,Experimental Weaponry,1,594,1
2028-09-25,7da4a39f-dd65-41d9-8e0e-b3587ab72789,REQUEST,Medikit,4,396,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,2,79,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Experimental Weaponry,1,558,1
2028-09-25,fdf9982d-cd3a-4205-94b9-f44f4192f821,REQUEST,Experimental Weaponry,1,558,1
2028-09-25,9e727f49-8c37-45a5-89b6-4cc60e7647f3,REQUEST,Medikit,4,360,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Rubbing Alcohol,3,108,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Rubbing Alcohol,3,108,1
2028-09-25,b544defa-b8fa-4130-9f14-65cbde5b3ad4,REQUEST,Medikit,5,425,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,3,99,1
2028-09-25,f92a03f1-fed0-4d97-8bb6-117d11c5227b,REQUEST,Medikit,5,411,1
2028-09-25,9e727f49-8c37-45a5-89b6-4cc60e7647f3,REQUEST,Bandages,2,162,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,4,128,1
2028-09-25,fdf9982d-cd3a-4205-94b9-f44f4192f821,REQUEST,Bandages,3,227,1
2028-09-25,7da4a39f-dd65-41d9-8e0e-b3587ab72789,REQUEST,Medical Equipment,1,435,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Bandages,2,144,1
2028-09-25,fdf9982d-cd3a-4205-94b9-f44f4192f821,REQUEST,Experimental Weaponry,2,846,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Bandages,3,199,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,5,130,1
2028-09-25,b544defa-b8fa-4130-9f14-65cbde5b3ad4,REQUEST,Hygiene Packs,1,125,1
2028-09-25,fdf9982d-cd3a-4205-94b9-f44f4192f821,REQUEST,Bandages,3,181,1
2028-09-25,b544defa-b8fa-4130-9f14-65cbde5b3ad4,REQUEST,Rubbing Alcohol,5,120,1
2028-09-25,7da4a39f-dd65-41d9-8e0e-b3587ab72789,REQUEST,Medical Equipment,1,336,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Hygiene Packs,1,105,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Bandages,4,207,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Medical Equipment,1,307,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Radio Equipment,1,289,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Medical Equipment,1,288,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Radio Equipment,1,287,1
2028-09-25,f92a03f1-fed0-4d97-8bb6-117d11c5227b,REQUEST,Experimental Weaponry,2,558,1
2028-09-25,7da4a39f-dd65-41d9-8e0e-b3587ab72789,REQUEST,Experimental Weaponry,3,837,1
2028-09-25,f92a03f1-fed0-4d97-8bb6-117d11c5227b,REQUEST,Medical Equipment,1,270,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Medical Equipment,1,270,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Experimental Weaponry,3,790,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Radio Equipment,1,263,1
2028-09-25,9e727f49-8c37-45a5-89b6-4cc60e7647f3,REQUEST,Petrol,1,174,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Petrol,1,172,1
2028-09-25,9e727f49-8c37-45a5-89b6-4cc60e7647f3,REQUEST,Radio Equipment,1,252,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Bandages,4,161,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Diesel,1,156,1
2028-09-25,934f781c-a297-4143-ba48-dcbb41accdc9,REQUEST,Petrol,1,155,1
2028-09-25,934f781c-a297-4143-ba48-dcbb41accdc9,REQUEST,Petrol,1,153,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Diesel,1,150,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Diesel,1,150,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Diesel,1,149,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Diesel,1,147,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Diesel,1,144,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Diesel,1,144,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Experimental Weaponry,3,635,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Diesel,1,140,1
2028-09-25,7da4a39f-dd65-41d9-8e0e-b3587ab72789,REQUEST,Experimental Weaponry,4,824,1
2028-09-25,9e727f49-8c37-45a5-89b6-4cc60e7647f3,REQUEST,Bandages,5,169,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Diesel,1,135,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Diesel,1,134,1
2028-09-25,fdf9982d-cd3a-4205-94b9-f44f4192f821,REQUEST,Diesel,1,132,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Diesel,1,132,1
2028-09-25,fdf9982d-cd3a-4205-94b9-f44f4192f821,REQUEST,Diesel,1,132,1
2028-09-25,9e727f49-8c37-45a5-89b6-4cc60e7647f3,REQUEST,Bandages,5,163,1
2028-09-25,9e727f49-8c37-45a5-89b6-4cc60e7647f3,REQUEST,Diesel,1,127,1
2028-09-25,7da4a39f-dd65-41d9-8e0e-b3587ab72789,REQUEST,Experimental Weaponry,4,756,1
2028-09-25,fdf9982d-cd3a-4205-94b9-f44f4192f821,REQUEST,Experimental Weaponry,3,558,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Diesel,1,121,1
2028-09-25,7da4a39f-dd65-41d9-8e0e-b3587ab72789,REQUEST,Diesel,1,119,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Diesel,1,118,1
2028-09-25,dff86194-0590-4016-b794-0ab8d962a938,REQUEST,Bandages,5,147,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Diesel,1,117,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Diesel,1,114,1
2028-09-25,934f781c-a297-4143-ba48-dcbb41accdc9,REQUEST,Radio Equipment,2,338,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Diesel,1,112,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Diesel,1,112,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Diesel,1,111,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Diesel,1,111,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Fat Rations,1,27,1
2028-09-25,1d1b9464-d1ab-4050-8352-868cfcf33c19,REQUEST,Fat Rations,1,27,1
2028-09-25,f92a03f1-fed0-4d97-8bb6-117d11c5227b,REQUEST,Fat Rations,1,27,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Fat Rations,1,27,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Diesel,1,107,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Hygiene Packs,2,107,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Diesel,1,105,1
2028-09-25,fdf9982d-cd3a-4205-94b9-f44f4192f821,REQUEST,Protein Rations,1,52,1
2028-09-25,7da4a39f-dd65-41d9-8e0e-b3587ab72789,REQUEST,Protein Rations,1,51,1
2028-09-25,934f781c-a297-4143-ba48-dcbb41accdc9,REQUEST,Pistol Parts,1,303,1
2028-09-25,dff86194-0590-4016-b794-0ab8d962a938,REQUEST,Radio Equipment,2,298,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Medical Equipment,2,290,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Bandages,6,144,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Hygiene Packs,2,95,1
2028-09-25,7da4a39f-dd65-41d9-8e0e-b3587ab72789,REQUEST,Experimental Weaponry,6,849,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Bandages,7,165,1
2028-09-25,fdf9982d-cd3a-4205-94b9-f44f4192f821,REQUEST,Radio Equipment,3,420,1
2028-09-25,7da4a39f-dd65-41d9-8e0e-b3587ab72789,REQUEST,Radio Equipment,2,278,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Pulley,1,92,1
2028-09-25,7da4a39f-dd65-41d9-8e0e-b3587ab72789,REQUEST,Pulley,1,91,1
2028-09-25,934f781c-a297-4143-ba48-dcbb41accdc9,REQUEST,Petrol,2,176,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Bandages,8,176,1
2028-09-25,7da4a39f-dd65-41d9-8e0e-b3587ab72789,REQUEST,Petrol,2,174,1
2028-09-25,fdf9982d-cd3a-4205-94b9-f44f4192f821,REQUEST,Protein Rations,1,43,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Hygiene Packs,3,129,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Pistol Parts,1,256,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Pistol Parts,1,254,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Radio Equipment,2,252,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Hygiene Packs,2,84,1
2028-09-25,1d1b9464-d1ab-4050-8352-868cfcf33c19,REQUEST,Radio Equipment,2,252,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Makeshift Explosives,1,165,1
2028-09-25,934f781c-a297-4143-ba48-dcbb41accdc9,REQUEST,Workshop Tools,1,247,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Diesel,2,163,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Pulley,1,81,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Pistol Parts,1,243,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Workshop Tools,1,239,1
2028-09-25,1d1b9464-d1ab-4050-8352-868cfcf33c19,REQUEST,Makeshift Explosives,1,159,1
2028-09-25,f92a03f1-fed0-4d97-8bb6-117d11c5227b,REQUEST,Diesel,2,157,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Rope,1,77,1
2028-09-25,1d1b9464-d1ab-4050-8352-868cfcf33c19,REQUEST,Pistol Parts,1,225,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Diesel,2,148,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Diesel,2,148,1
2028-09-25,1d1b9464-d1ab-4050-8352-868cfcf33c19,REQUEST,Pistol Parts,1,222,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Diesel,2,147,1
2028-09-25,934f781c-a297-4143-ba48-dcbb41accdc9,REQUEST,Protein Rations,1,36,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Pistol Parts,1,216,1
2028-09-25,dff86194-0590-4016-b794-0ab8d962a938,REQUEST,Pistol Parts,1,213,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Riot Equipment,1,422,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Medical Equipment,3,314,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Pistol Parts,1,209,1
2028-09-25,fdf9982d-cd3a-4205-94b9-f44f4192f821,REQUEST,Riot Equipment,1,418,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Diesel,2,139,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Pistol Parts,1,208,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rope,1,69,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Pistol Parts,1,206,1
2028-09-25,b544defa-b8fa-4130-9f14-65cbde5b3ad4,REQUEST,Riot Equipment,1,412,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Pistol Parts,1,201,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Pistol Parts,1,201,1
2028-09-25,7da4a39f-dd65-41d9-8e0e-b3587ab72789,REQUEST,Diesel,2,132,1
2028-09-25,fdf9982d-cd3a-4205-94b9-f44f4192f821,REQUEST,Drilling Equipment,1,196,1
2028-09-25,9e727f49-8c37-45a5-89b6-4cc60e7647f3,REQUEST,Radio Equipment,3,289,1
2028-09-25,dff86194-0590-4016-b794-0ab8d962a938,REQUEST,Rope,1,63,1
2028-09-25,934f781c-a297-4143-ba48-dcbb41accdc9,REQUEST,Rope,1,63,1
2028-09-25,dff86194-0590-4016-b794-0ab8d962a938,REQUEST,Rope,1,63,1
2028-09-25,7da4a39f-dd65-41d9-8e0e-b3587ab72789,REQUEST,Fat Rations,2,31,1
2028-09-25,f92a03f1-fed0-4d97-8bb6-117d11c5227b,REQUEST,Diesel,2,122,1
2028-09-25,b544defa-b8fa-4130-9f14-65cbde5b3ad4,REQUEST,Drilling Equipment,1,181,1
2028-09-25,fdf9982d-cd3a-4205-94b9-f44f4192f821,REQUEST,Workshop Tools,1,180,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Hygiene Packs,3,90,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Petrol,3,179,1
2028-09-25,7da4a39f-dd65-41d9-8e0e-b3587ab72789,REQUEST,Climbing Equipment,1,119,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Diesel,2,117,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Diesel,2,112,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Diesel,2,111,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Petrol,3,165,1
2028-09-25,fdf9982d-cd3a-4205-94b9-f44f4192f821,REQUEST,Hygiene Packs,4,110,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Radio Equipment,3,247,1
2028-09-25,dff86194-0590-4016-b794-0ab8d962a938,REQUEST,Climbing Equipment,1,108,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Fat Rations,2,27,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Diesel,3,161,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Pistol Parts,1,161,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Diesel,2,107,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Diesel,3,160,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Diesel,3,160,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Diesel,3,160,1
